,House,Day Eaten,Type,Kg,Price,Servings,Kcal,Exp,Meat & Fish,Dairy & Eggs,Fruits & Vegetables,Dry Foods & Baked Goods,"Snacks, Condiments, Liquids, Oils, Grease, & Other",Store-Prepared Items
0,0,0,Store-Prepared Items,1.7485649262430634,20.311330183239427,18.405946592032247,4878.496144218147,7,0.0,0.0,0.0,0.0,0.0,18.405946592032247
1,1,0,"Cooked, Prepped, Leftovers",4.38793177733687,38.41780864711037,48.74520780608345,11091.726840236612,6,31.087538866035516,0.0,5.756951641858429,15.12892488761839,46.05561313486743,0.0
2,2,0,Store-Prepared Items,0.5348968503948002,6.213361814185999,5.630493162050527,1492.3622126014925,6,0.0,0.0,0.0,0.0,0.0,5.630493162050527
3,3,0,Store-Prepared Items,0.5138222891130955,5.9685597103377175,5.408655674874689,1433.5641866255364,6,0.0,0.0,0.0,0.0,0.0,5.408655674874689
4,0,1,"Cooked, Prepped, Leftovers",1.177980581890064,6.6570627634062225,14.724757273625796,3559.3419519671957,4,0.0,0.0,0.0,7.362378636812898,7.362378636812898,0.0
5,1,1,Store-Prepared Items,1.050785214416343,12.205921050660244,11.06089699385624,2931.690748221597,5,0.0,0.0,0.0,0.0,0.0,11.06089699385624
6,2,1,"Cooked, Prepped, Leftovers",1.3588256831081937,8.545767330930675,15.014648432134738,2327.5707999495276,5,0.0,0.0,7.507324216067369,7.507324216067369,0.0,0.0
7,3,1,"Cooked, Prepped, Leftovers",1.168269625772933,15.421159060202715,12.980773619699253,2616.9239617313697,6,12.980773619699253,0.0,0.0,0.0,0.0,0.0
8,3,1,Store-Prepared Items,1.027644578226191,11.937119420675435,10.817311349749378,2867.128373251073,2,0.0,0.0,0.0,0.0,0.0,10.817311349749378
9,0,2,"Cooked, Prepped, Leftovers",4.193325889620166,36.00269292448602,45.64444607320161,9876.15335690934,7,39.17098779461697,41.975944952054775,0.0,27.20663098744291,27.20663098744291,0.0
10,0,2,"Cooked, Prepped, Leftovers",0.28405719139262936,2.43883354261005,3.0919688799575784,669.0136798742036,6,25.904355273250275,27.759315048926403,0.0,17.992148642822666,17.992148642822666,0.0
11,1,2,"Cooked, Prepped, Leftovers",0.989123760806601,7.253582234131169,9.43158866177675,1125.1394284378975,4,0.0,0.0,7.373931329237493,2.0576573325392564,0.0,0.0
12,1,2,"Cooked, Prepped, Leftovers",0.36169133169909845,2.829229972401837,3.3182690981568665,654.6613103753683,4,0.0,6.198269098156862,0.0,0.0,0.0,0.0
13,2,2,"Cooked, Prepped, Leftovers",2.906198942412224,22.8005350131384,29.070943926802475,5201.193406616863,4,10.601049918749691,14.134733224999588,37.29999045486002,14.10079997935134,25.5210461006937,0.0
14,2,2,"Cooked, Prepped, Leftovers",0.912984083959288,5.4961529900445525,10.63562084317993,2216.4689814138783,5,0.0,6.8693810066330485,0.0,7.632645562925609,0.0,0.0
15,3,2,"Cooked, Prepped, Leftovers",1.3052889028697585,8.20907008326141,14.423081799665837,2235.866140584198,5,0.0,0.0,7.211540899832919,7.211540899832919,0.0,0.0
16,3,2,"Cooked, Prepped, Leftovers",1.543990906654228,12.196042585143037,13.701927709682545,1941.3540217759216,6,0.0,6.4903868098496265,7.211540899832919,0.0,0.0,0.0
17,0,3,"Cooked, Prepped, Leftovers",4.208149209324145,41.174387956496666,42.55247719324403,8512.494691513964,7,17.888508759920818,9.939211159697413,5.521783977609674,0.0,9.202973296016124,0.0
18,1,3,"Cooked, Prepped, Leftovers",4.0892288057651625,35.80256433920323,45.42693870792659,10336.671398364828,4,14.406056489787902,0.0,2.6677882388496115,7.010788068492177,21.34230591079689,0.0
19,1,3,Store-Prepared Items,0.5253926072081715,6.102960525330122,5.53044849692812,1465.8453741107985,3,0.0,0.0,0.0,0.0,0.0,5.53044849692812
20,2,3,Store-Prepared Items,1.0697937007896003,12.426723628371999,11.260986324101054,2984.724425202985,4,0.0,0.0,0.0,0.0,0.0,11.260986324101054
21,2,3,"Cooked, Prepped, Leftovers",0.3114604956813002,1.8749883647433563,3.62829516734807,756.1386225043733,4,0.0,1.7186661319017176,0.0,1.9096290354463525,0.0,0.0
22,3,3,Store-Prepared Items,1.027644578226191,11.937119420675435,10.817311349749378,2867.128373251073,3,0.0,0.0,0.0,0.0,0.0,10.817311349749378
23,3,3,Store-Prepared Items,0.827767463579281,9.61534685693693,8.713341721887168,2309.471223386194,1,0.0,0.0,0.0,0.0,0.0,8.713341721887168
24,0,4,"Cooked, Prepped, Leftovers",4.544401806182472,39.9149887228627,45.64444607320161,8287.402188410018,7,23.815378785057305,12.075887887916908,28.35437186951564,7.667230405026608,19.16807601256652,0.0
25,0,4,"Cooked, Prepped, Leftovers",0.4442054678143347,3.5376523456733624,3.829357481158057,350.9223195733244,5,0.0,0.0,3.829357481158057,0.0,0.0,0.0
