,House,Day Bought,Type,Kg,Price,Servings,Kcal,Exp,Meat & Fish,Dairy & Eggs,Fruits & Vegetables,Dry Foods & Baked Goods,"Snacks, Condiments, Liquids, Oils, Grease, & Other",Store-Prepared Items
0,0,0,Dairy & Eggs,0.654,5.115733333333334,6,1183.74,14,0.0,6.0,0.0,0.0,0.0,0.0
1,0,0,Store-Prepared Items,1.9,22.070400000000003,20,5301.0,4,0.0,0.0,0.0,0.0,0.0,20.0
2,0,0,Dairy & Eggs,1.308,10.231466666666668,12,2367.48,28,0.0,12.0,0.0,0.0,0.0,0.0
3,0,0,Dry Foods & Baked Goods,0.78,2.5740000000000003,12,2620.8,49,0.0,0.0,0.0,12.0,0.0,0.0
4,0,0,Dairy & Eggs,0.654,5.115733333333334,6,1183.74,23,0.0,6.0,0.0,0.0,0.0,0.0
5,0,0,Meat & Fish,0.54,7.128000000000001,6,1209.6000000000001,8,6.0,0.0,0.0,0.0,0.0,0.0
6,0,0,Store-Prepared Items,0.5700000000000001,6.621120000000001,6,1590.3000000000002,3,0.0,0.0,0.0,0.0,0.0,6.0
7,0,0,"Snacks, Condiments, Liquids, Oils, Grease, & Other",0.5700000000000001,4.1382,6,1590.3000000000002,32,0.0,0.0,0.0,0.0,6.0,0.0
8,0,0,"Snacks, Condiments, Liquids, Oils, Grease, & Other",1.9,13.793999999999999,20,5301.0,56,0.0,0.0,0.0,0.0,20.0,0.0
9,0,0,Store-Prepared Items,1.9,22.070400000000003,20,5301.0,4,0.0,0.0,0.0,0.0,0.0,20.0
10,0,0,Dairy & Eggs,1.308,10.231466666666668,12,2367.48,10,0.0,12.0,0.0,0.0,0.0,0.0
11,0,0,Store-Prepared Items,0.5700000000000001,6.621120000000001,6,1590.3000000000002,2,0.0,0.0,0.0,0.0,0.0,6.0
12,0,0,Meat & Fish,1.7999999999999998,23.759999999999998,20,4031.9999999999995,9,20.0,0.0,0.0,0.0,0.0,0.0
13,1,0,Dry Foods & Baked Goods,0.39,1.2870000000000001,6,1310.4,41,0.0,0.0,0.0,6.0,0.0,0.0
14,1,0,Meat & Fish,1.08,14.256000000000002,12,2419.2000000000003,9,12.0,0.0,0.0,0.0,0.0,0.0
15,1,0,"Snacks, Condiments, Liquids, Oils, Grease, & Other",1.9,13.793999999999999,20,5301.0,12,0.0,0.0,0.0,0.0,20.0,0.0
16,1,0,Store-Prepared Items,0.5700000000000001,6.621120000000001,6,1590.3000000000002,2,0.0,0.0,0.0,0.0,0.0,6.0
17,1,0,Store-Prepared Items,1.1400000000000001,13.242240000000002,12,3180.6000000000004,3,0.0,0.0,0.0,0.0,0.0,12.0
18,1,0,"Snacks, Condiments, Liquids, Oils, Grease, & Other",1.9,13.793999999999999,20,5301.0,14,0.0,0.0,0.0,0.0,20.0,0.0
19,1,0,Dry Foods & Baked Goods,0.39,1.2870000000000001,6,1310.4,33,0.0,0.0,0.0,6.0,0.0,0.0
20,1,0,"Snacks, Condiments, Liquids, Oils, Grease, & Other",1.9,13.793999999999999,20,5301.0,43,0.0,0.0,0.0,0.0,20.0,0.0
21,2,0,Store-Prepared Items,1.1400000000000001,13.242240000000002,12,3180.6000000000004,6,0.0,0.0,0.0,0.0,0.0,12.0
22,2,0,Store-Prepared Items,0.5700000000000001,6.621120000000001,6,1590.3000000000002,5,0.0,0.0,0.0,0.0,0.0,6.0
23,2,0,Fruits & Vegetables,1.3920000000000001,11.085888000000002,12,1099.68,9,0.0,0.0,12.0,0.0,0.0,0.0
